Repeat,Generation,X1,X2,F(x)
0,0,-0.823529411764706509302413905970752239227294921875,-1.372549019607841813694903976283967494964599609375,179.07735302165070834234938956797122955322265625,
0,10,-0.823529411764706509302413905970752239227294921875,-7.72549019607843145962533526471816003322601318359375,184.858993530578487707316526211798191070556640625,
0,20,-7.098039215686274161498658941127359867095947265625,-7.72549019607843145962533526471816003322601318359375,185.5815857990866106774774380028247833251953125,
0,30,-7.098039215686274161498658941127359867095947265625,-7.72549019607843145962533526471816003322601318359375,185.5815857990866106774774380028247833251953125,
0,40,-7.098039215686274161498658941127359867095947265625,-7.72549019607843145962533526471816003322601318359375,185.5815857990866106774774380028247833251953125,
0,50,-7.098039215686274161498658941127359867095947265625,-7.72549019607843145962533526471816003322601318359375,185.5815857990866106774774380028247833251953125,
Repeat,Generation,X1,X2,F(x)
1,0,-0.901960784313725838501341058872640132904052734375,4.980392156862745167700268211774528026580810546875,133.4617372839487643432221375405788421630859375,
1,10,-7.098039215686274161498658941127359867095947265625,4.823529411764706509302413905970752239227294921875,183.5286065448698309410247020423412322998046875,
1,20,-7.098039215686274161498658941127359867095947265625,4.823529411764706509302413905970752239227294921875,183.5286065448698309410247020423412322998046875,
1,30,-7.098039215686274161498658941127359867095947265625,4.823529411764706509302413905970752239227294921875,183.5286065448698309410247020423412322998046875,
1,40,-1.4509803921568629192506705294363200664520263671875,-0.823529411764706509302413905970752239227294921875,184.005035512563239308292395435273647308349609375,
1,50,-1.4509803921568629192506705294363200664520263671875,-0.823529411764706509302413905970752239227294921875,184.005035512563239308292395435273647308349609375,
Repeat,Generation,X1,X2,F(x)
2,0,5.294117647058822484495976823382079601287841796875,-1.4509803921568629192506705294363200664520263671875,111.5217545153034990335072507150471210479736328125,
2,10,-0.823529411764706509302413905970752239227294921875,4.901960784313725838501341058872640132904052734375,181.036095058876213670373545028269290924072265625,
2,20,-0.823529411764706509302413905970752239227294921875,-7.72549019607843145962533526471816003322601318359375,184.858993530578487707316526211798191070556640625,
2,30,-0.823529411764706509302413905970752239227294921875,-7.72549019607843145962533526471816003322601318359375,184.858993530578487707316526211798191070556640625,
2,40,-7.098039215686274161498658941127359867095947265625,-7.72549019607843145962533526471816003322601318359375,185.5815857990866106774774380028247833251953125,
2,50,-7.098039215686274161498658941127359867095947265625,-7.72549019607843145962533526471816003322601318359375,185.5815857990866106774774380028247833251953125,
Repeat,Generation,X1,X2,F(x)
3,0,-6.5490196078431370807493294705636799335479736328125,5.5294117647058822484495976823382079601287841796875,111.0491351933093966408705455251038074493408203125,
3,10,-7.019607843137254832299731788225471973419189453125,-1.6078431372549015776485248352400958538055419921875,113.26980731058876017414149828255176544189453125,
3,20,-1.4509803921568629192506705294363200664520263671875,5.4509803921568629192506705294363200664520263671875,182.9551905641918665423872880637645721435546875,
