Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,F(x)
0,0,0.09172154911954066847101785242557525634765625,3.53182653279213898400712423608638346195220947265625,-0.7964305551316872566758320317603647708892822265625,0.103284401989807150812339386902749538421630859375,-0.251101413006988849474510061554610729217529296875,2.185535447248756923954715603031218051910400390625,-1.92021485030671090754594843019731342792510986328125,0.0948466444898823368703233427368104457855224609375,-1.43988769188512844010574553976766765117645263671875,-3.9765276039918209249890423961915075778961181640625,-39.54906721580474737720578559674322605133056640625,
0,10,-1.690207831049531872480429228744469583034515380859375,0.38454298532059727477872002054937183856964111328125,0.76736716818750583257724429131485521793365478515625,0.7486165959654531576461522490717470645904541015625,0.4686080507827998786751777515746653079986572265625,0.04265755180516972444593193358741700649261474609375,-0.53048493911557415003699134103953838348388671875,-0.37516769920957049322396414936520159244537353515625,-0.35985473189489436407484390656463801860809326171875,0.33547898800622544257521440158598124980926513671875,-5.039574822871404791158056468702852725982666015625,
0,20,0.06984588152714632514062031987123191356658935546875,0.34422925504318424572147705475799739360809326171875,-0.7964305551316872566758320317603647708892822265625,0.1085970641193885199982105405069887638092041015625,0.2864149906918544985501284827478229999542236328125,0.36266731772820204326990278786979615688323974609375,-0.551110568559831648371982737444341182708740234375,-0.37266762291329680323315187706612050533294677734375,-0.32016602069154931342609415878541767597198486328125,-0.87049531540879598878746037371456623077392578125,-2.285900699818100623161853945930488407611846923828125,
0,30,0.06984588152714632514062031987123191356658935546875,0.34422925504318424572147705475799739360809326171875,-0.7164281136509291769698393181897699832916259765625,0.1085970641193885199982105405069887638092041015625,0.2464137699514754586971321259625256061553955078125,0.07265846736045400433567920117639005184173583984375,-0.3729801324503316806158181861974298954010009765625,-0.13516037476729625410598600865341722965240478515625,-0.32985381633961008418509663897566497325897216796875,0.32954130680257520680243032984435558319091796875,-1.0892173096123951570035615077358670532703399658203125,
0,40,0.06984588152714632514062031987123191356658935546875,0.34422925504318424572147705475799739360809326171875,-0.7164281136509291769698393181897699832916259765625,0.1085970641193885199982105405069887638092041015625,0.0864088869899592992851466988213360309600830078125,0.07265846736045400433567920117639005184173583984375,-0.3729801324503316806158181861974298954010009765625,-0.12015991698965411416111237485893070697784423828125,-0.32985381633961008418509663897566497325897216796875,0.32954130680257520680243032984435558319091796875,-1.032134138085264662976214822265319526195526123046875,
0,50,0.06984588152714632514062031987123191356658935546875,0.34922940763573162570310159935615956783294677734375,-0.07703360087893340590881052776239812374114990234375,0.10734702597125167500280440435744822025299072265625,0.0864088869899592992851466988213360309600830078125,0.06265816217536013255084981210529804229736328125,-0.37048005615405799062500591389834880828857421875,-0.12015991698965411416111237485893070697784423828125,-0.32985381633961008418509663897566497325897216796875,0.32985381633961008418509663897566497325897216796875,-0.5249906849776777573168828894267790019512176513671875,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,F(x)
1,0,-0.568923612170781467511915252543985843658447265625,-1.3758232367931153561357859871350228786468505859375,-0.39735587633899971393702799105085432529449462890625,-2.886494338816492533084101523854769766330718994140625,-0.27047700430311039099251502193510532379150390625,0.57611133152256766010168576030991971492767333984375,2.8793066194647050082267014659009873867034912109375,-2.835555284279915877476696550729684531688690185546875,-1.928965117343668822513791383244097232818603515625,-2.9436835840937529695793273276649415493011474609375,-39.82832683832435805015848018229007720947265625,
1,10,-0.568923612170781467511915252543985843658447265625,-1.3758232367931153561357859871350228786468505859375,-0.39735587633899971393702799105085432529449462890625,-0.328916287728507228393937111832201480865478515625,-0.27047700430311039099251502193510532379150390625,0.13516037476729625410598600865341722965240478515625,-0.19172460097048915628192844451405107975006103515625,-0.74736655781731631265074611292220652103424072265625,-2.564297006134220513473565006279386579990386962890625,0.1635987426374096997960805310867726802825927734375,-9.7717661875660581927149905823171138763427734375,
1,20,-0.568923612170781467511915252543985843658447265625,-0.0957841731009860808399025700055062770843505859375,-0.37735526596881019401052981265820562839508056640625,-0.3264162114322335384031248395331203937530517578125,-0.27047700430311039099251502193510532379150390625,0.31516586809900193344446961418725550174713134765625,-0.19172460097048915628192844451405107975006103515625,-0.79768059327982410167123816790990531444549560546875,0.1457856990264598806561480159871280193328857421875,0.1635987426374096997960805310867726802825927734375,-1.4753512285593561870200574048794806003570556640625,
