Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,F(x)
0,0,-3.3333333333333339254522798000834882259368896484375,0.6666666666666660745477201999165117740631103515625,4.6666666666666660745477201999165117740631103515625,-6,-4.66666666666666696272613990004174411296844482421875,2,4.6666666666666660745477201999165117740631103515625,2,-0.6666666666666660745477201999165117740631103515625,0.6666666666666660745477201999165117740631103515625,-49161.59259259258396923542022705078125,
0,10,-3.3333333333333339254522798000834882259368896484375,-4.66666666666666696272613990004174411296844482421875,-0.6666666666666660745477201999165117740631103515625,3.333333333333332149095440399833023548126220703125,0.6666666666666660745477201999165117740631103515625,2,2,2,-0.6666666666666660745477201999165117740631103515625,0.6666666666666660745477201999165117740631103515625,-7531.962962962961682933382689952850341796875,
0,20,3.333333333333332149095440399833023548126220703125,-2,-0.6666666666666660745477201999165117740631103515625,3.333333333333332149095440399833023548126220703125,0.6666666666666660745477201999165117740631103515625,2,2,2,-0.6666666666666660745477201999165117740631103515625,0.6666666666666660745477201999165117740631103515625,-3097.493827160491491667926311492919921875,
0,30,3.333333333333332149095440399833023548126220703125,-2,-0.6666666666666660745477201999165117740631103515625,3.333333333333332149095440399833023548126220703125,2,2,2,2,-0.6666666666666660745477201999165117740631103515625,0.6666666666666660745477201999165117740631103515625,-3069.83950617283699102699756622314453125,
0,40,4.6666666666666660745477201999165117740631103515625,-2,-0.6666666666666660745477201999165117740631103515625,3.333333333333332149095440399833023548126220703125,2,2,2,2,-0.6666666666666660745477201999165117740631103515625,0.6666666666666660745477201999165117740631103515625,-3056.506172839503051363863050937652587890625,
0,50,3.333333333333332149095440399833023548126220703125,-2,-0.6666666666666660745477201999165117740631103515625,3.333333333333332149095440399833023548126220703125,2,2,0.6666666666666660745477201999165117740631103515625,0.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,0.6666666666666660745477201999165117740631103515625,-2528.2098765432065192726440727710723876953125,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,F(x)
1,0,3.333333333333332149095440399833023548126220703125,8.666666666666667850904559600166976451873779296875,0.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,-4.66666666666666696272613990004174411296844482421875,-6,0.6666666666666660745477201999165117740631103515625,-3.3333333333333339254522798000834882259368896484375,0.6666666666666660745477201999165117740631103515625,2,-93132.06172839508508332073688507080078125,
1,10,-3.3333333333333339254522798000834882259368896484375,0.6666666666666660745477201999165117740631103515625,2,-2,-2,-0.6666666666666660745477201999165117740631103515625,0.6666666666666660745477201999165117740631103515625,2,0.6666666666666660745477201999165117740631103515625,2,-1905.888888888888914152630604803562164306640625,
1,20,-2,0.6666666666666660745477201999165117740631103515625,2,-2,-0.6666666666666660745477201999165117740631103515625,-0.6666666666666660745477201999165117740631103515625,0.6666666666666660745477201999165117740631103515625,2,0.6666666666666660745477201999165117740631103515625,2,-1383.32098765432101572514511644840240478515625,
